name,role,profession,family,p index,year
ARADâ‚‚-mu,['representative'],,,107705,65.1025
ARADâ‚‚-mu,,,,118628,65.1105
ARADâ‚‚-mu,['representative'],,,126541,65.1111
ARADâ‚‚-mu,['representative'],,,142635,65.1115
ARADâ‚‚-mu,['representative'],,,135059,65.112
ARADâ‚‚-mu,['representative'],,,123293,65.1121
ARADâ‚‚-mu,['representative'],,,330548,65.1208
ARADâ‚‚-mu,['representative'],,,289524,65.1223
ARADâ‚‚-mu,['representative'],,,112420,65.1227
ARADâ‚‚-mu,,,,330240,65.1228
ARADâ‚‚-mu,['representative'],,,341922,66.0508
ARADâ‚‚-mu,,,,106325,66.0605
ARADâ‚‚-mu,['representative'],,,106325,66.0605
ARADâ‚‚-mu,,,,101389,66.0611
ARADâ‚‚-mu,,,,135060,66.0613
ARADâ‚‚-mu,['representative'],,,124859,66.0626
ARADâ‚‚-mu,['representative'],,,134160,66.0715
ARADâ‚‚-mu,['representative'],,,107713,66.072
ARADâ‚‚-mu,['representative'],,,134237,66.0802
ARADâ‚‚-mu,['representative'],,,200583,66.0802
ARADâ‚‚-mu,['representative'],,,117510,66.0812
ARADâ‚‚-mu,['representative'],,,125835,66.0813
ARADâ‚‚-mu,['representative'],,,330482,66.082
ARADâ‚‚-mu,['representative'],,,321022,66.0822
ARADâ‚‚-mu,['representative'],,,211479,66.0826
ARADâ‚‚-mu,['representative'],,,122157,66.0906
ARADâ‚‚-mu,,,,124861,66.0909
ARADâ‚‚-mu,['representative'],,,124861,66.0909
ARADâ‚‚-mu,['representative'],,,124814,66.091
ARADâ‚‚-mu,['representative'],,,135062,66.0923
ARADâ‚‚-mu,,,,101390,66.0929
ARADâ‚‚-mu,['representative'],,,101390,66.0929
ARADâ‚‚-mu,,,,107724,66.1005
ARADâ‚‚-mu,,,,465780,66.11
ARADâ‚‚-mu,,sukkal[secretary],,330484,66.11
ARADâ‚‚-mu,['representative'],,,105833,66.1115
ARADâ‚‚-mu,['representative'],,,143011,66.1116
ARADâ‚‚-mu,['representative'],,,109223,66.112
ARADâ‚‚-mu,['representative'],,,125924,66.1204
ARADâ‚‚-mu,['representative'],,,102702,66.121
ARADâ‚‚-mu,['representative'],,,103298,66.1212
ARADâ‚‚-mu,['representative'],,,136250,66.1212
ARADâ‚‚-mu,['representative'],,,115506,66.1213
ARADâ‚‚-mu,,,,101313,67
ARADâ‚‚-mu,['representative'],,,125889,67.0116
ARADâ‚‚-mu,['representative'],,,131561,67.0118
ARADâ‚‚-mu,['representative'],,,135063,67.0126
ARADâ‚‚-mu,['representative'],,,131652,67.013
ARADâ‚‚-mu,['representative'],,,124521,67.02
ARADâ‚‚-mu,['representative'],,,103089,67.0202
ARADâ‚‚-mu,,maÅ¡kim[administrator],,107523,67.0214
ARADâ‚‚-mu,,ugula[overseer],,424375,67.0214
ARADâ‚‚-mu,['representative'],,,143878,67.0218
ARADâ‚‚-mu,['representative'],,,289535,67.0223
ARADâ‚‚-mu,['representative'],,,200529,67.0226
ARADâ‚‚-mu,['representative'],,,126010,67.0304
ARADâ‚‚-mu,['representative'],,,143875,67.0309
ARADâ‚‚-mu,['representative'],,,124162,67.0322
ARADâ‚‚-mu,['representative'],,,124895,67.0327
ARADâ‚‚-mu,['representative'],,,107737,67.04
ARADâ‚‚-mu,['representative'],,,212130,67.0428
ARADâ‚‚-mu,['representative'],,,107742,67.05
ARADâ‚‚-mu,['representative'],,,125854,67.05
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,125945,67.0506
ARADâ‚‚-mu,['representative'],,,132123,67.0516
ARADâ‚‚-mu,['representative'],,,117468,67.0527
ARADâ‚‚-mu,['representative'],,,102704,67.0621
ARADâ‚‚-mu,['representative'],,,143883,67.0626
ARADâ‚‚-mu,['representative'],,,125781,67.0715
ARADâ‚‚-mu,['representative'],,,122192,67.0721
ARADâ‚‚-mu,['representative'],,,332072,67.0723
ARADâ‚‚-mu,['representative'],,,103997,67.0803
ARADâ‚‚-mu,['representative'],,,107749,67.0817
ARADâ‚‚-mu,['representative'],,,113157,67.0817
ARADâ‚‚-mu,['representative'],,,115513,67.082
ARADâ‚‚-mu,['representative'],,,103125,67.0829
ARADâ‚‚-mu,,,,103674,67.0906
ARADâ‚‚-mu,['representative'],,,123767,67.0916
ARADâ‚‚-mu,,Å¡abra[administrator],,131067,67.0917
ARADâ‚‚-mu,['representative'],,,212406,67.0917
ARADâ‚‚-mu,['representative'],,,117302,67.0921
ARADâ‚‚-mu,['representative'],,,321037,67.0926
ARADâ‚‚-mu,['representative'],,,332605,67.1003
ARADâ‚‚-mu,['representative'],,,116230,67.1018
ARADâ‚‚-mu,['representative'],,,102956,67.1102
ARADâ‚‚-mu,['representative'],,,127397,67.1103
ARADâ‚‚-mu,,,,303623,67.1113
ARADâ‚‚-mu,['representative'],,,126583,67.1126
ARADâ‚‚-mu,['representative'],,,200539,67.1204
ARADâ‚‚-mu,['representative'],,,209821,67.1212
ARADâ‚‚-mu,['representative'],,,117304,67.1223
ARADâ‚‚-mu,['representative'],,,211503,67.1229
ARADâ‚‚-mu,['representative'],,,106562,68
ARADâ‚‚-mu,,,,126312,68.0101
ARADâ‚‚-mu,,,,126312,68.0101
ARADâ‚‚-mu,,,,143893,68.0101
ARADâ‚‚-mu,['representative'],,,143893,68.0101
ARADâ‚‚-mu,['representative'],,,112852,68.0116
ARADâ‚‚-mu,['representative'],,,127334,68.0118
ARADâ‚‚-mu,,maÅ¡kim[administrator],,320575,68.012
ARADâ‚‚-mu,['representative'],,,131110,68.0122
ARADâ‚‚-mu,['representative'],,,126430,68.013
ARADâ‚‚-mu,['representative'],,,101391,68.0401
ARADâ‚‚-mu,['representative'],,,107766,68.0401
ARADâ‚‚-mu,['representative'],,,212078,68.0407
ARADâ‚‚-mu,['representative'],,,132121,68.041
ARADâ‚‚-mu,['representative'],,,200509,68.0414
ARADâ‚‚-mu,['representative'],,,115508,68.0415
ARADâ‚‚-mu,['representative'],,,115509,68.0416
ARADâ‚‚-mu,,,,105854,68.0425
ARADâ‚‚-mu,,,,143125,68.0511
ARADâ‚‚-mu,['representative'],,,303511,68.0515
ARADâ‚‚-mu,['representative'],,,481071,68.0516
ARADâ‚‚-mu,['representative'],,,126227,68.0521
